sha,commit/committer/date,commit/message,committer/login,committer/id,InsertQuery,,,,,
6025a8678038560107e9963da71275b60e67a3d7,2016-03-29T21:28:28Z,arrange folders,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('6025a8678038560107e9963da71275b60e67a3d7','16628107','yemao616','2016-03-29T21:28:28Z','arrange folders');"
95befdbafb1f6c78d25d2968d45da4d4c450f5cb,2016-03-29T21:25:45Z,Update and rename What we have in Solution_2 to What we have in Solution_3,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('95befdbafb1f6c78d25d2968d45da4d4c450f5cb','16628107','yemao616','2016-03-29T21:25:45Z','Update and rename What we have in Solution_2 to What we have in Solution_3');"
b0929a71ebc46d6b49a3e29894ad922cfadd18a1,2016-03-29T21:22:09Z,arrange folders,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('b0929a71ebc46d6b49a3e29894ad922cfadd18a1','16628107','yemao616','2016-03-29T21:22:09Z','arrange folders');"
b5416c960822b1ea0e3eb107a576e19623cb86c2,2016-03-29T21:13:59Z,solution-Ye,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('b5416c960822b1ea0e3eb107a576e19623cb86c2','16628107','yemao616','2016-03-29T21:13:59Z','solution-Ye');"
08a7a329a55e1b8872fe2e88dff2797e14d55905,2016-03-27T20:40:59Z,Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('08a7a329a55e1b8872fe2e88dff2797e14d55905','16145028','YiqiaoXu-Joe','2016-03-27T20:40:59Z','Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse');"
d3d4b1b817910e5f9bace99051b6d55d7c531619,2016-03-27T20:40:42Z,user chose a searched place and search nearby whatever he wants,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('d3d4b1b817910e5f9bace99051b6d55d7c531619','16145028','YiqiaoXu-Joe','2016-03-27T20:40:42Z','user chose a searched place and search nearby whatever he wants');"
fa59a92c7bd5a60ac69b189b7071305c4378990a,2016-03-27T20:29:14Z,add nearby parking and restaurant,sju88,16637176,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('fa59a92c7bd5a60ac69b189b7071305c4378990a','16637176','sju88','2016-03-27T20:29:14Z','add nearby parking and restaurant');"
6ecaa6358f6aa80de54fe873cac6282176817cee,2016-03-20T23:40:50Z,Adding timeline to the project,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('6ecaa6358f6aa80de54fe873cac6282176817cee','13953290','asaha1','2016-03-20T23:40:50Z','Adding timeline to the project');"
805736a7eef1b939ef30eccfe97400079023a8ac,2016-03-03T22:00:48Z,implement autocomplete in search box,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('805736a7eef1b939ef30eccfe97400079023a8ac','16145028','YiqiaoXu-Joe','2016-03-03T22:00:48Z','implement autocomplete in search box');"
fcd2f322a99712dcb3f15dd5b5e59a73127436d0,2016-03-03T20:54:27Z,add hint in search box,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('fcd2f322a99712dcb3f15dd5b5e59a73127436d0','16145028','YiqiaoXu-Joe','2016-03-03T20:54:27Z','add hint in search box');"
6be261ed391787ae973edf17eaccd2592f0dc950,2016-03-03T19:08:54Z,fixing repo,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('6be261ed391787ae973edf17eaccd2592f0dc950','13953290','asaha1','2016-03-03T19:08:54Z','fixing repo');"
1a946b156988868e456b95b052c5da4fc1dfa327,2016-03-03T18:33:05Z,fixing readme,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('1a946b156988868e456b95b052c5da4fc1dfa327','13953290','asaha1','2016-03-03T18:33:05Z','fixing readme');"
a5cbc530aa9f4c4516f4aeb02ffc509b99f1227e,2016-03-03T08:16:58Z,add sol1-demo,sju88,16637176,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('a5cbc530aa9f4c4516f4aeb02ffc509b99f1227e','16637176','sju88','2016-03-03T08:16:58Z','add sol1-demo');"
0116c020c787d5aad2d0be69205881d06ce210b8,2016-03-03T08:14:01Z,sol1,sju88,16637176,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('0116c020c787d5aad2d0be69205881d06ce210b8','16637176','sju88','2016-03-03T08:14:01Z','sol1');"
0720a4dedc700bf9c1f5b753dad5eb443732c1c3,2016-03-02T20:55:22Z,Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('0720a4dedc700bf9c1f5b753dad5eb443732c1c3','16145028','YiqiaoXu-Joe','2016-03-02T20:55:22Z','Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse');"
7d7458e57ff1624949a3a7b43c87500c11db414e,2016-03-02T20:55:19Z,fix some bugs,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('7d7458e57ff1624949a3a7b43c87500c11db414e','16145028','YiqiaoXu-Joe','2016-03-02T20:55:19Z','fix some bugs');"
4552677b78cfc952648dee5a71eca15f7441c95b,2016-03-02T19:21:39Z,Update README.md,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('4552677b78cfc952648dee5a71eca15f7441c95b','16145028','YiqiaoXu-Joe','2016-03-02T19:21:39Z','Update README.md');"
62dcda28826083d654bbbecfe4e9a323f7973efe,2016-03-02T17:29:20Z,Update README.MD,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('62dcda28826083d654bbbecfe4e9a323f7973efe','13953290','asaha1','2016-03-02T17:29:20Z','Update README.MD');"
203da52cc0c326e8ee813e6f83589d4946bba0dc,2016-03-02T17:10:04Z,Update README.MD,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('203da52cc0c326e8ee813e6f83589d4946bba0dc','16628107','yemao616','2016-03-02T17:10:04Z','Update README.MD');"
979e1934651b1fe8b94c07c484488d40c47e017b,2016-03-02T17:06:30Z,Update README.MD,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('979e1934651b1fe8b94c07c484488d40c47e017b','16628107','yemao616','2016-03-02T17:06:30Z','Update README.MD');"
3c97e4a62dbf21ae3cd0f9431568e65bda0e589d,2016-03-02T17:04:50Z,Update README.MD,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('3c97e4a62dbf21ae3cd0f9431568e65bda0e589d','16628107','yemao616','2016-03-02T17:04:50Z','Update README.MD');"
cf110794a7fc93ed1bae688634966a751d14e93f,2016-03-02T16:56:02Z,Update README.MD,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('cf110794a7fc93ed1bae688634966a751d14e93f','16628107','yemao616','2016-03-02T16:56:02Z','Update README.MD');"
a88313c0cbe781545610b172975a5d02759d903e,2016-03-02T16:47:17Z,adding pictures in readme telemetry,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('a88313c0cbe781545610b172975a5d02759d903e','13953290','asaha1','2016-03-02T16:47:17Z','adding pictures in readme telemetry');"
0863de7ec247e376578bcb229a1a3bd20fb211de,2016-03-02T16:43:35Z,adding pictures in readme telemetry,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('0863de7ec247e376578bcb229a1a3bd20fb211de','13953290','asaha1','2016-03-02T16:43:35Z','adding pictures in readme telemetry');"
6ad3ea8b2c499763b0ad30068e6ca943b6bf7ecd,2016-03-02T16:42:53Z,Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('6ad3ea8b2c499763b0ad30068e6ca943b6bf7ecd','16145028','YiqiaoXu-Joe','2016-03-02T16:42:53Z','Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse');"
226b786d736540867db2a4c2a32157a79b4c004a,2016-03-02T16:42:28Z,fix some bugs,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('226b786d736540867db2a4c2a32157a79b4c004a','16145028','YiqiaoXu-Joe','2016-03-02T16:42:28Z','fix some bugs');"
62a909b51bdbbf463b38c3075f2a2cbeeb0272c8,2016-03-02T16:39:02Z,adding pictures in readme telemetry,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('62a909b51bdbbf463b38c3075f2a2cbeeb0272c8','13953290','asaha1','2016-03-02T16:39:02Z','adding pictures in readme telemetry');"
e36fca73099a36d5bce193febbcbf67fedc7f12a,2016-03-02T16:37:06Z,adding pictures of telemetry,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('e36fca73099a36d5bce193febbcbf67fedc7f12a','13953290','asaha1','2016-03-02T16:37:06Z','adding pictures of telemetry');"
5771ffcc75382009d6e8b9346076af6c3180a08f,2016-03-02T16:34:10Z,Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('5771ffcc75382009d6e8b9346076af6c3180a08f','16145028','YiqiaoXu-Joe','2016-03-02T16:34:10Z','Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse');"
d212beb97e281cb1ba065e696457464ad8497c51,2016-03-02T16:33:48Z,fix some bugs,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('d212beb97e281cb1ba065e696457464ad8497c51','16145028','YiqiaoXu-Joe','2016-03-02T16:33:48Z','fix some bugs');"
5cf3d8f89c0ffbd45e1f47bee81172e4afb2d428,2016-03-02T16:30:16Z,adding telemetry link,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('5cf3d8f89c0ffbd45e1f47bee81172e4afb2d428','13953290','asaha1','2016-03-02T16:30:16Z','adding telemetry link');"
1144f52c216c1691898f8ef08d2572d03be421d6,2016-03-02T16:19:37Z,adding telemetry link,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('1144f52c216c1691898f8ef08d2572d03be421d6','13953290','asaha1','2016-03-02T16:19:37Z','adding telemetry link');"
a6c95ef437f688182d13cd6880037421a9c015bc,2016-03-02T16:16:55Z,Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('a6c95ef437f688182d13cd6880037421a9c015bc','16145028','YiqiaoXu-Joe','2016-03-02T16:16:55Z','Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse');"
ed760c436b52ca2c8b9fec259c53ee44806d1b17,2016-03-02T16:16:36Z,make web beautiful,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('ed760c436b52ca2c8b9fec259c53ee44806d1b17','16145028','YiqiaoXu-Joe','2016-03-02T16:16:36Z','make web beautiful');"
ee60cda87e65f51f9ecce9196b63dbdf0275a5e4,2016-03-02T16:11:55Z,Solution 1 readme,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('ee60cda87e65f51f9ecce9196b63dbdf0275a5e4','13953290','asaha1','2016-03-02T16:11:55Z','Solution 1 readme');"
2856c7d5306bbfbc9a9d764183d1ba000820f675,2016-03-02T16:10:45Z,Solution 1 readme,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('2856c7d5306bbfbc9a9d764183d1ba000820f675','13953290','asaha1','2016-03-02T16:10:45Z','Solution 1 readme');"
f78ab1a0395008d49c7c44f00029a06687972e43,2016-03-02T16:05:23Z,adding format to Ye\'s readme,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('f78ab1a0395008d49c7c44f00029a06687972e43','13953290','asaha1','2016-03-02T16:05:23Z','adding format to Ye\'s readme');"
64ef7e8e0b890cfde721512b2b39185f7c7f796c,2016-03-02T15:58:19Z,Adding telemetry file,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('64ef7e8e0b890cfde721512b2b39185f7c7f796c','13953290','asaha1','2016-03-02T15:58:19Z','Adding telemetry file');"
487d370c538337496db662e08d8a3c2a78e8f1e2,2016-03-02T15:54:30Z,Adding few files,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('487d370c538337496db662e08d8a3c2a78e8f1e2','13953290','asaha1','2016-03-02T15:54:30Z','Adding few files');"
df0b5f6e2567993a5473612d0f67e7491b11eefe,2016-03-02T15:27:03Z,updating mar 1 readme,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('df0b5f6e2567993a5473612d0f67e7491b11eefe','13953290','asaha1','2016-03-02T15:27:03Z','updating mar 1 readme');"
60fe7c1e03b6fcc5bbbd9553e8a6da3289e3326a,2016-03-02T15:15:33Z,Readme for mar 1 deliverable,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('60fe7c1e03b6fcc5bbbd9553e8a6da3289e3326a','13953290','asaha1','2016-03-02T15:15:33Z','Readme for mar 1 deliverable');"
ad643144d3f1750cf32bc1bdfacd61549a815479,2016-03-02T15:03:15Z,CHanging readme for itinerary,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('ad643144d3f1750cf32bc1bdfacd61549a815479','13953290','asaha1','2016-03-02T15:03:15Z','CHanging readme for itinerary');"
2a76ac97507a991706f31dde6cf5bb5622adb0f5,2016-03-02T15:00:58Z,Putting readme file for solution 3,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('2a76ac97507a991706f31dde6cf5bb5622adb0f5','13953290','asaha1','2016-03-02T15:00:58Z','Putting readme file for solution 3');"
2c6de3b267f691b1761cbf1eda5bc335115decac,2016-03-02T14:50:47Z,Making current solution 2 to solution 3,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('2c6de3b267f691b1761cbf1eda5bc335115decac','13953290','asaha1','2016-03-02T14:50:47Z','Making current solution 2 to solution 3');"
f53a3d321cafd557c5ac2d749b7fb4630e1a1f81,2016-03-02T14:44:47Z,Create Readme,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('f53a3d321cafd557c5ac2d749b7fb4630e1a1f81','16628107','yemao616','2016-03-02T14:44:47Z','Create Readme');"
94ec2c3acf29f7b368cc4b319e2ade4a7d387344,2016-03-02T04:11:46Z,Modified readme,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('94ec2c3acf29f7b368cc4b319e2ade4a7d387344','13953290','asaha1','2016-03-02T04:11:46Z','Modified readme');"
ddff21aa879848c5ee6f6dccc1a05417b7b6e81d,2016-03-02T04:05:14Z,Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('ddff21aa879848c5ee6f6dccc1a05417b7b6e81d','13953290','asaha1','2016-03-02T04:05:14Z','Merge branch \'master\' of https://github.com/arnabsaha1011/mypackse');"
4dc00277ecc09ebc48e9afafb9f19d239918775f,2016-03-02T04:04:49Z,Modified readme file,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('4dc00277ecc09ebc48e9afafb9f19d239918775f','13953290','asaha1','2016-03-02T04:04:49Z','Modified readme file');"
